QueryId,DocumentId
201,clueweb12-0200tw-42-00329
201,clueweb12-0100tw-52-00074
201,clueweb12-0400tw-61-00973
201,clueweb12-0400tw-96-00120
201,clueweb12-0401tw-01-00229
201,clueweb12-0300tw-61-01168
201,clueweb12-0401tw-00-00772
201,clueweb12-0100tw-39-00245
201,clueweb12-0400tw-34-01301
201,clueweb12-0400tw-56-01486
201,clueweb12-0200tw-36-01178
201,clueweb12-0400tw-50-00639
201,clueweb12-0400tw-96-01556
201,clueweb12-0401tw-15-00244
201,clueweb12-0301tw-34-00630
201,clueweb12-0400tw-98-01348
201,clueweb12-0401tw-08-00236
201,clueweb12-0401tw-08-01023
201,clueweb12-0401tw-03-01512
201,clueweb12-0401tw-11-00936
201,clueweb12-0400tw-99-01417
201,clueweb12-0000wb-60-00109
201,clueweb12-0300tw-70-01303
201,clueweb12-0401tw-07-00110
201,clueweb12-0000wb-58-00777
201,clueweb12-0300wb-27-00889
201,clueweb12-0200wb-06-01648
201,clueweb12-0101wb-20-01375
201,clueweb12-0200wb-45-00232
201,clueweb12-0200tw-94-00957
201,clueweb12-0200tw-36-01532
201,clueweb12-0300tw-97-00007
201,clueweb12-0000wb-88-02555
201,clueweb12-0001wb-97-01960
201,clueweb12-0000wb-73-00258
201,clueweb12-0200wb-80-01698
201,clueweb12-0400wb-86-01035
201,clueweb12-0001wb-51-01343
201,clueweb12-0300wb-56-01785
201,clueweb12-0200wb-89-02515
201,clueweb12-0401tw-16-00005
201,clueweb12-0001wb-65-02101
201,clueweb12-0000wb-28-02103
201,clueweb12-0100wb-70-01577
201,clueweb12-0400tw-99-00689
201,clueweb12-0401tw-08-00904
201,clueweb12-0401tw-08-01308
201,clueweb12-0301tw-21-00263
201,clueweb12-0401tw-03-00168
201,clueweb12-0401tw-03-01328
201,clueweb12-0401tw-16-00171
201,clueweb12-0401tw-04-01402
201,clueweb12-0100tw-40-00241
201,clueweb12-0300tw-74-00677
201,clueweb12-0300tw-88-00507
201,clueweb12-0301tw-28-00839
201,clueweb12-0300tw-17-01705
201,clueweb12-0200wb-38-00268
201,clueweb12-0100wb-59-01564
201,clueweb12-0100wb-73-02126
201,clueweb12-0400wb-00-01950
201,clueweb12-0000wb-11-00471
201,clueweb12-0400wb-16-01822
201,clueweb12-0200tw-54-00464
201,clueweb12-0000wb-95-01495
201,clueweb12-0300wb-73-00202
201,clueweb12-0300wb-71-01579
